song,genre,bpm,energy,danceability,loudness,speechiness,acousticness,liveness,valence,popularity
Wat Zou Je Doen - Live,Country,0.5048543689320388,0.92,0.6875,3.0,0.3090909090909091,0.3838383838383838,0.6161616161616161,0.4646464646464646,0.3
One Day Like This,Jazz,0.7718446601941747,0.67,0.4479166666666667,3.0,0.0545454545454545,0.0909090909090909,0.1414141414141414,0.3838383838383838,0.45
Bagagedrager,Hip hop,0.7766990291262136,0.71,0.5208333333333334,4.0,0.0909090909090909,0.0808080808080808,0.4343434343434343,0.3333333333333333,0.45
Wêr Bisto,Video game music,0.4271844660194174,0.32,0.5416666666666666,5.5,0.0363636363636363,0.3333333333333333,0.0909090909090909,0.1818181818181818,0.48
Only Time,K pop,0.4029126213592233,0.25,0.4375,7.0,0.0545454545454545,0.8484848484848485,0.1111111111111111,0.2121212121212121,0.7
Sorry Seems To Be The Hardest Word,Pop,0.3834951456310679,0.6,0.5833333333333334,3.5,0.0545454545454545,0.1818181818181818,0.3838383838383838,0.4444444444444444,0.58
Self Esteem,Jazz,0.5097087378640777,0.91,0.4791666666666667,2.0,0.109090909090909,0.0202020202020202,0.3636363636363636,0.6161616161616161,0.72
Aanzoek Zonder Ringen,Classical,0.7766990291262136,0.85,0.5729166666666666,4.0,0.0727272727272727,0.0202020202020202,0.3232323232323232,0.4646464646464646,0.42
Modern World,R&B,0.5825242718446602,0.76,0.7291666666666666,2.5,0.109090909090909,0.1212121212121212,0.1313131313131313,0.6868686868686869,0.42
Rosie,R&B,0.4854368932038835,0.55,0.6145833333333334,6.0,0.0545454545454545,0.4747474747474747,0.1111111111111111,0.6464646464646465,0.43
This Is Not America - 2002 Remaster,Hip hop,0.558252427184466,0.67,0.75,6.0,0.0727272727272727,0.0606060606060606,0.0505050505050505,0.6565656565656566,0.43
Times Like These,EDM,0.7038834951456311,0.91,0.3958333333333333,2.0,0.1636363636363636,0.0,0.2424242424242424,0.2727272727272727,0.65
De Vondeling Van Ameland,EDM,0.5339805825242718,0.35,0.40625,5.0,0.0545454545454545,0.6767676767676768,0.1111111111111111,0.1616161616161616,0.19
I'm Gonna Be (500 Miles),Hip hop,0.6407766990291263,0.55,0.8854166666666666,2.5,0.0727272727272727,0.1515151515151515,0.0808080808080808,0.8181818181818182,0.74
Afscheid Nemen Bestaat Niet,Lofi,0.6213592233009708,0.4,0.4166666666666667,4.5,0.0545454545454545,0.0303030303030303,0.0909090909090909,0.2222222222222222,0.49
Blauwe Ruis,Latin,0.6310679611650486,0.7,0.5416666666666666,3.5,0.0727272727272727,0.0404040404040404,0.1313131313131313,0.3535353535353535,0.41
Limburg - Live,R&B,0.7621359223300971,0.93,0.2395833333333333,2.5,0.3090909090909091,0.2929292929292929,0.9393939393939394,0.2828282828282828,0.32
21 Guns,Hip hop,0.7766990291262136,0.74,0.28125,2.5,0.0727272727272727,0.0505050505050505,0.6363636363636364,0.4242424242424242,0.75
Valerie (feat. Amy Winehouse) - Version Revisited,Jazz,0.5145631067961165,0.84,0.7291666666666666,2.5,0.0909090909090909,0.0,0.1212121212121212,0.898989898989899,0.62
Blaosmuziek,Pop,0.2961165048543689,0.13,0.28125,7.0,0.0727272727272727,0.9494949494949496,0.3333333333333333,0.1818181818181818,0.38
Binnen,Rap,0.4466019417475728,0.9,0.5208333333333334,3.5,0.109090909090909,0.0101010101010101,0.1515151515151515,0.6767676767676768,0.3
Motorcycle Emptiness,Lofi,0.5436893203883495,0.81,0.5520833333333334,2.0,0.0545454545454545,0.0,0.1616161616161616,0.2121212121212121,0.39
In the End,Metal,0.5097087378640777,0.86,0.5833333333333334,3.0,0.109090909090909,0.0101010101010101,0.2121212121212121,0.404040404040404,0.83
Halt mich,Jazz,0.5048543689320388,0.44,0.3020833333333333,3.5,0.0545454545454545,0.797979797979798,0.0808080808080808,0.1616161616161616,0.44
Girl,R&B,0.6601941747572816,0.8,0.6979166666666666,2.5,0.0545454545454545,0.0101010101010101,0.0606060606060606,0.797979797979798,0.56
"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Rock,0.7864077669902912,0.62,0.3333333333333333,3.0,0.0545454545454545,0.0303030303030303,0.6060606060606061,0.3636363636363636,0.4
Ik Wou Dat Ik Jou Was,Rap,0.7766990291262136,0.61,0.375,3.0,0.0727272727272727,0.5454545454545454,0.1111111111111111,0.494949494949495,0.58
Empire State of Mind (Part II) Broken Down,Hip hop,0.4514563106796116,0.37,0.5,4.0,0.0545454545454545,0.7474747474747475,0.1212121212121212,0.1414141414141414,0.75
Numb / Encore,Country,0.5194174757281553,0.79,0.71875,2.0,0.3090909090909091,0.0606060606060606,0.5858585858585859,0.7575757575757576,0.75
Ben Ik Te Min,Rock,0.4902912621359223,0.69,0.6458333333333334,3.5,0.0545454545454545,0.2828282828282828,0.0606060606060606,0.5656565656565656,0.47
All Summer Long,Pop,0.5,0.86,0.7291666666666666,2.0,0.0545454545454545,0.0202020202020202,0.101010101010101,0.898989898989899,0.72
Forever Autumn,Country,0.5922330097087378,0.49,0.3645833333333333,3.5,0.0545454545454545,0.4747474747474747,0.2121212121212121,0.2121212121212121,0.41
Waiting On the World to Change,Metal,0.8592233009708737,0.76,0.6041666666666666,3.0,0.2181818181818181,0.1616161616161616,0.2525252525252525,0.6666666666666666,0.74
Everybody's Changing,Classical,0.4563106796116505,0.84,0.5416666666666666,2.0,0.0545454545454545,0.0,0.101010101010101,0.4646464646464646,0.54
How to Save a Life,Pop,0.5922330097087378,0.74,0.6666666666666666,2.0,0.0727272727272727,0.2727272727272727,0.101010101010101,0.3636363636363636,0.8
"Bloed, Zweet En Tranen",Hip hop,0.3300970873786408,0.72,0.625,2.0,0.0545454545454545,0.0808080808080808,0.3535353535353535,0.3737373737373737,0.59
"Lose Yourself - From ""8 Mile"" Soundtrack",K pop,0.8300970873786407,0.74,0.71875,2.5,0.4727272727272727,0.0101010101010101,0.3636363636363636,0.0606060606060606,0.77
Europa (Earth's Cry Heaven's Smile),Country,0.3640776699029126,0.67,0.3125,2.5,0.0909090909090909,0.0303030303030303,0.1515151515151515,0.6868686868686869,0.59
Feeling Good,Gospel,0.529126213592233,0.42,0.3645833333333333,4.0,0.0545454545454545,0.303030303030303,0.101010101010101,0.2727272727272727,0.51
"Harder, Better, Faster, Stronger",Classical,0.5970873786407767,0.72,0.8541666666666666,4.5,0.2545454545454545,0.0404040404040404,0.3636363636363636,0.696969696969697,0.71
Use Somebody,Classical,0.6650485436893204,0.72,0.2916666666666667,2.5,0.0727272727272727,0.0101010101010101,0.202020202020202,0.1717171717171717,0.76
Sweet Disposition,Pop,0.6262135922330098,0.82,0.5520833333333334,3.5,0.0727272727272727,0.0707070707070707,0.1212121212121212,0.3434343434343434,0.64
Single Ladies (Put a Ring on It),EDM,0.9368932038834952,0.58,0.4479166666666667,2.5,0.5454545454545454,0.0404040404040404,0.1919191919191919,0.2727272727272727,0.7
You're the Voice,R&B,0.4126213592233009,0.76,0.3854166666666667,4.5,0.0909090909090909,0.2222222222222222,0.5858585858585859,0.6464646464646465,0.62
Voltooid Verleden Tijd,Video game music,0.6699029126213593,0.44,0.4791666666666667,4.5,0.0545454545454545,0.6666666666666666,0.101010101010101,0.1515151515151515,0.39
Eternal Flame,Rap,0.3834951456310679,0.36,0.5520833333333334,3.5,0.0363636363636363,0.5353535353535354,0.0909090909090909,0.404040404040404,0.7
Papa Was A Rolling Stone,Pop,0.5825242718446602,0.6,0.8854166666666666,6.0,0.0727272727272727,0.0606060606060606,0.1919191919191919,0.8787878787878788,0.44
Crazy In Love (feat. Jay-Z),Lofi,0.4805825242718446,0.77,0.6770833333333334,3.5,0.4181818181818181,0.0,0.0707070707070707,0.6868686868686869,0.75
Best of You,Pop,0.6310679611650486,0.94,0.3854166666666667,2.5,0.1272727272727272,0.0,0.1919191919191919,0.3737373737373737,0.75
Daughters,Classical,0.6067961165048543,0.41,0.6979166666666666,4.0,0.0545454545454545,0.8484848484848485,0.101010101010101,0.5050505050505051,0.68
De wedstrijd,Lofi,0.6601941747572816,0.85,0.6041666666666666,3.0,0.0909090909090909,0.5353535353535354,0.797979797979798,0.5858585858585859,0.42
Papillon,Gospel,0.6116504854368932,0.95,0.53125,2.5,0.109090909090909,0.0,0.303030303030303,0.6363636363636364,0.56
Sadeness,Classical,0.4660194174757281,0.64,0.6145833333333334,5.0,0.0545454545454545,0.0909090909090909,0.0909090909090909,0.494949494949495,0.58
Red Mij Niet - Single Edit,Lofi,0.5776699029126213,0.38,0.5416666666666666,4.5,0.0727272727272727,0.7676767676767676,0.101010101010101,0.1313131313131313,0.36
Love Is A Losing Game,Folk,0.8009708737864077,0.56,0.5,3.0,0.0545454545454545,0.3232323232323232,0.1818181818181818,0.5454545454545454,0.67
Zij,R&B,0.2815533980582524,0.4,0.2604166666666667,4.5,0.0727272727272727,0.4545454545454545,0.0909090909090909,0.1111111111111111,0.52
Tribute,EDM,0.4563106796116505,0.77,0.3854166666666667,3.0,0.1272727272727272,0.1818181818181818,0.0909090909090909,0.4242424242424242,0.59
You Know I'm No Good,K pop,0.5,0.81,0.7395833333333334,2.0,0.0545454545454545,0.0101010101010101,0.0707070707070707,0.7373737373737373,0.74
Talk,EDM,0.5825242718446602,0.56,0.4270833333333333,5.5,0.0545454545454545,0.0101010101010101,0.1616161616161616,0.1616161616161616,0.63
Love Is A Battlefield,Rock,0.441747572815534,0.63,0.6979166666666666,6.0,0.0909090909090909,0.0101010101010101,0.101010101010101,0.8686868686868687,0.54
Home,EDM,0.6213592233009708,0.37,0.6354166666666666,4.5,0.0545454545454545,0.8484848484848485,0.1111111111111111,0.3535353535353535,0.64
Sonne,Gospel,0.3640776699029126,0.92,0.53125,2.5,0.1636363636363636,0.0101010101010101,0.404040404040404,0.3131313131313131,0.6
I Gotta Feeling,Latin,0.6213592233009708,0.77,0.7708333333333334,3.0,0.0545454545454545,0.0909090909090909,0.5151515151515151,0.6161616161616161,0.69
She Sells Sanctuary,R&B,0.6747572815533981,0.77,0.5729166666666666,4.5,0.0545454545454545,0.0,0.1313131313131313,0.4242424242424242,0.63
Alie,Rap,0.4514563106796116,0.77,0.5416666666666666,5.5,0.109090909090909,0.1414141414141414,0.0606060606060606,0.9393939393939394,0.42
Red Red Wine,Hip hop,0.4320388349514563,0.47,0.8958333333333334,4.5,0.0909090909090909,0.0,0.2727272727272727,0.8484848484848485,0.74
A Little Less Conversation - JXL Radio Edit Remix,K pop,0.558252427184466,0.97,0.625,3.0,0.0909090909090909,0.0,0.1313131313131313,0.7272727272727273,0.64
Love You More,Jazz,0.8300970873786407,0.2,0.3541666666666667,5.5,0.0545454545454545,0.7676767676767676,0.1111111111111111,0.303030303030303,0.43
Old Man,Classical,0.6844660194174758,0.3,0.7395833333333334,6.0,0.0545454545454545,0.4444444444444444,0.101010101010101,0.4848484848484848,0.44
Zij Maakt Het Verschil,Pop,0.8398058252427184,0.55,0.3541666666666667,4.0,0.0727272727272727,0.3333333333333333,0.1212121212121212,0.3636363636363636,0.54
I Want To Hold Your Hand - Remastered 2015,Latin,0.6359223300970874,0.72,0.5104166666666666,3.0,0.0909090909090909,0.3939393939393939,0.3131313131313131,0.8787878787878788,0.75
Black Magic Woman,Rap,0.6019417475728155,0.55,0.5208333333333334,3.5,0.0545454545454545,0.6868686868686869,0.0909090909090909,0.6363636363636364,0.62
Set The Fire To The Third Bar,Video game music,0.4660194174757281,0.38,0.5625,3.5,0.0545454545454545,0.5252525252525253,0.0808080808080808,0.3939393939393939,0.49
Ghost Love Score,Video game music,0.4902912621359223,0.78,0.4583333333333333,2.5,0.0727272727272727,0.0101010101010101,0.2929292929292929,0.1919191919191919,0.38
Going To A Town,Pop,0.6019417475728155,0.46,0.5833333333333334,3.5,0.0545454545454545,0.7272727272727273,0.101010101010101,0.1919191919191919,0.38
Is Dit Alles,Country,0.587378640776699,0.41,0.8645833333333334,7.0,0.2363636363636363,0.4646464646464646,0.0505050505050505,0.8888888888888888,0.44
A Gentleman's Excuse Me,Classical,0.6116504854368932,0.17,0.34375,7.0,0.0727272727272727,0.8686868686868687,0.3232323232323232,0.1919191919191919,0.44
God Put a Smile upon Your Face,Jazz,0.616504854368932,0.56,0.6354166666666666,3.0,0.0545454545454545,0.1818181818181818,0.0404040404040404,0.2424242424242424,0.64
Heartbreak Warfare,Metal,0.470873786407767,0.55,0.6458333333333334,4.0,0.0363636363636363,0.1919191919191919,0.303030303030303,0.3131313131313131,0.66
Sailing to Philadelphia,Country,0.4805825242718446,0.48,0.6145833333333334,5.0,0.0363636363636363,0.6464646464646465,0.0909090909090909,0.1515151515151515,0.39
Accidentally In Love,Jazz,0.6699029126213593,0.93,0.5729166666666666,2.0,0.0727272727272727,0.0404040404040404,0.0909090909090909,0.8181818181818182,0.59
It's Raining Men,K pop,0.6601941747572816,0.93,0.6875,3.0,0.2909090909090909,0.4646464646464646,0.7070707070707071,0.4646464646464646,0.58
One Word,Rap,0.4466019417475728,0.57,0.6458333333333334,4.0,0.0545454545454545,0.101010101010101,0.1111111111111111,0.3434343434343434,0.52
Goodnight Saigon,Classical,0.6262135922330098,0.39,0.6145833333333334,7.0,0.109090909090909,0.1313131313131313,0.0707070707070707,0.1515151515151515,0.46
Moonlight Shadow,Latin,0.6262135922330098,0.72,0.6354166666666666,4.0,0.0545454545454545,0.2929292929292929,0.3636363636363636,0.8080808080808081,0.64
Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,Jazz,0.6310679611650486,0.32,0.5520833333333334,8.5,0.1454545454545454,0.5353535353535354,0.9797979797979798,0.4646464646464646,0.41
Uprising,Jazz,0.6213592233009708,0.91,0.625,2.0,0.1454545454545454,0.0,0.1212121212121212,0.4141414141414141,0.76
My Immortal,Lofi,0.3834951456310679,0.27,0.1979166666666666,4.5,0.0727272727272727,0.8686868686868687,0.1313131313131313,0.101010101010101,0.74
Feel Like Flying,Metal,0.4757281553398058,0.69,0.6979166666666666,3.5,0.0545454545454545,0.0606060606060606,0.101010101010101,0.8383838383838383,0.41
Everything,K pop,0.5970873786407767,0.69,0.71875,2.5,0.0545454545454545,0.3939393939393939,0.0909090909090909,0.494949494949495,0.73
Hey There Delilah,Folk,0.5048543689320388,0.29,0.6875,5.5,0.0545454545454545,0.8787878787878788,0.1111111111111111,0.303030303030303,0.8
Speeltuin,Rap,0.5436893203883495,0.08,0.5520833333333334,8.0,0.0909090909090909,0.9292929292929292,0.1111111111111111,0.3131313131313131,0.5
"Comptine d'un autre été, l'après-midi",K pop,0.4854368932038835,0.19,0.5,7.5,0.0909090909090909,1.0,0.1111111111111111,0.0606060606060606,0.56
Sweet Goodbyes,R&B,0.5339805825242718,0.33,0.65625,4.5,0.0545454545454545,0.7474747474747475,0.1111111111111111,0.4747474747474747,0.56
The Man Who Can't Be Moved,Jazz,0.4854368932038835,0.63,0.6354166666666666,2.5,0.0545454545454545,0.4343434343434343,0.101010101010101,0.3333333333333333,0.64
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Classical,0.8398058252427184,0.3,0.3333333333333333,6.5,0.0545454545454545,0.7777777777777778,0.7070707070707071,0.4444444444444444,0.75
Halo,Metal,0.3883495145631068,0.72,0.53125,3.0,0.109090909090909,0.2727272727272727,0.0606060606060606,0.4747474747474747,0.78
Hollereer,Hip hop,0.9223300970873788,0.76,0.8229166666666666,3.5,0.4363636363636363,0.0303030303030303,0.101010101010101,0.494949494949495,0.46
Hier,Classical,0.7961165048543689,0.76,0.5208333333333334,4.0,0.0545454545454545,0.0,0.1414141414141414,0.5858585858585859,0.4
